track_id,album_id,artist_id,track,artist
0WOdLoKVLLVO8Zcu29ah68,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,My Favorite Things - Live At The Half Note,John Coltrane
5RANQdNcKrUchsNXSrM1af,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Cheap Thrills,Frank Zappa
4V0IQjv0hwEdLPYoxCF4eU,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,Announcements - Announcement 2 / Live At The Half Note,John Coltrane
2nWSLHchBsbpiqLLca2ZAV,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,Song Of Praise - Live At The Half Note,John Coltrane
0qQv3XKcr8mvZlcxcdqnvi,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,Introduction And Announcements - Introduction 2 / Live At The Half Note,John Coltrane
3daxXJzu8abECfrQNuG5Fb,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,Announcements - Announcement 1 / Live At The Half Note,John Coltrane
4Y0viZJi0J0wGGq53V8lsA,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,"One Down, One Up - Live At The Half Note",John Coltrane
4N05pFxj2VlUIsTdTrc904,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,Introduction And Announcements - Introduction 1 / Live At The Half Note,John Coltrane
6ZJdpaqHQGvJj6NQ3GuITN,1wL2hJoek6UmeP0GLx9VnZ,2hGh5VOeeqimQFxqXvfCUf,Time After Time,John Coltrane
2CcP08PDajq12CLNiafoKV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Nine Types Of Industrial Pollution,Frank Zappa
1XTISXdLJLRXKNc0suhnZV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,The Voice Of Cheese,Frank Zappa
65MwB4COqLosiXDMYnGhRY,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Uncle Meat: Main Title Theme,Frank Zappa
2WeRy1nUg1j0lzWe8VhkC6,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Deseri,Frank Zappa
0ongCDNtgI19em8txHsXRy,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,How Could I Be Such A Fool,Frank Zappa
2XOdh3xaiOIcWTBpIaDjOH,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Love Of My Life,Frank Zappa
3XjbKcULhaRFTWcvzFY7OC,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Il Potere Del Canto,Franco Battiato
1tNsEnoJLHTYhqeDvWzbKg,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Scherzo in minore,Franco Battiato
5WPfU9TAfTqZ3Trk4U1Nms,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Epilogo (2023 Remastered Version),Logos
3FK1NhyktJp0Nav4YQ70wy,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Oh Sweet Were The Hours - Remastered,Franco Battiato
1suorELeXIm3oOGm6WaHCM,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Gestillte Sehnsucht - Remastered,Franco Battiato
743KInv5knd9RNIbf0ZFWv,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Terra incognita (2023 Remastered Version),Logos
0P2h0qWNL6Nyc4RqNtqdaN,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Asrava (2023 Remastered Version),Logos
5K9jL0M4x5sCjujENxFofk,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,La leggerezza della libertà (2023 Remastered Version),Logos
7htfBcBvgKeGVXYxfx2xFA,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,'99 (2023 Remastered Version),Logos
3UDk7GHjm739z2byv8k6PU,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Ezra Pound (2023 Remastered Version),Logos
3CYdYSc42Bx6D52mNlbHMu,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Prologo (2023 Remastered Version),Logos
